Subuser,Date,Bandwidth Usage (GB)
falconfoot9678c7,2020-10,1.237088867
aquarianprototypecd0a6,2020-10,1.347774414
trailblaza2479d07,2020-05,0.104816406
stephencheng01160621,2020-12,0.667556641
alex73527547,2020-12,0.107295898
arequena1997371c,2020-08,2.887035156
hezeyu124ceac6,2020-05,0.322301758
hrivas5726a90d,2020-07,0.246321289
juanfranciscolira1477f36,2020-07,0.986612305
dexiumix6a2f6,2020-04,10.66156152
pjusinof15a6,2020-08,0.068757813
dwij28118f546,2020-05,0.154162109
bosswahab54bf37,2020-10,1.985501953
8143387396d3,2020-06,0.70752832
florentin912masson56cd,2020-10,0.014525391
xieyueji307ee36,2020-12,0.001018555
ashpinder68c5,2021-01,0.998705078
hyxderahmeddc966,2020-11,0.142864258
jeaohlee994710,2021-01,0.20340918
cooklowonder02d2,2020-10,1.216818359
bizzlebrains0fcf,2020-06,0.07137793
chrisjones58a930,2020-09,6.852722656
eloth96d4f2,2020-07,1.728676758
jessicacheatom97024a,2020-06,0.241176758
daoho20047342,2020-09,0.568301758
julianelk1f356,2020-11,0.0084375
nathanhaff2b2a6,2020-09,0.695013672
descorbethr3d76a,2020-07,0.015794922
cubs1304c77dzz,2021-12,10.01163672
dfwallace2e8fb6,2020-06,1.285046875
spencerpassey8bff2,2020-10,0.388473633
hdwarhaterd6a1,2020-10,0.092069336
jackbandit4d756,2020-09,0.026740234
rat3dr3451c61,2020-09,2.063210938
sho_825sa216f9f66,2020-10,0.667235352
franco61seven211c6,2020-08,0.994959961
gwenceslao454a786,2020-05,0.379389648
qqmax1681,2020-12,0.22365918
ny64Apanthers830fcd,2022-01,30.95778223
myrondenton8aa7,2020-09,12.28698145
griffithhanlon040c6,2020-05,2.156197266
ksoles941a206,2020-05,1.55393457
corporatesteezco8b02,2020-05,0.255148438
kevinkov1999596c6,2020-06,0.000701172
mh101099e083,2020-06,2.164978516
storyboaa5ee6,2020-12,0.350594727
tay513857a53,2020-05,0.05634375
1238363zzxz,2022-01,1.613651367
wangtannnn48d76,2020-05,2.122907227
victorakinloye7774d9d,2020-12,0.039621094
roberttorrez2836163d,2020-07,0.036038086
blzmoxxx9504,2021-01,0.002548828
theom0009d479,2020-06,0.46134082
cody8d40,2020-10,7.367361328
zamanashfakuz64c16,2020-07,0.141797852
merlionaqv77096,2021-01,0.674049805
jumpmanonly12347a0b,2020-06,0.002493164
barberevanrb902,2020-08,0.035929688
jasongranados29079088,2020-10,0.270547852
abdullahpamuk61apaa2b,2020-06,0.063750977
andrew3x99cbf5,2020-08,0.349520508
