Subuser,Date,"Bandwidth Usage"
707329182cd136,2020-07,2.377037109
722873zz,2021-12,0.879195313
722873zzxz,2022-01,0.979671875
723965zz,2021-12,1.900779297
723965zzxz,2022-01,0.015753906
724southwest6dd1,2020-09,2.770094727
724southwestbd7a6,2020-04,3.97049707
724southwestbd7a6,2020-05,3.11127832
724southwestbd7a6,2020-06,0.93437793
724southwestbd7a6,2020-07,4.767564453
745757zz,2021-12,1.716052734
7540255225b646,2020-04,5.20215918
765038zz,2021-12,3.269884766
769319zz,2021-12,0.218733398
769319zzxz,2022-01,1.503991211
7777dlwlrmabbef,2020-08,2.575923828
783263zz,2021-12,8.791741211
7bchen793c46,2020-04,3.019194336
7lucasl33406,2020-04,0.55552832
7lucasl33406,2020-05,0.730482422
7lucasl33406,2020-06,0.143820313
7lucasl33406,2020-07,1.62122168
7lucasl33406,2020-08,1.655773438
7lucasl33406,2020-09,1.445661133
7lucasl33406,2020-10,2.058699219
7lucasl33406,2020-11,1.296586914
7lucasl33406,2020-12,0.400208984
8.44E+12,2020-10,0.367004883
8.44E+12,2020-11,0.856737305
8.44E+12,2020-12,0.0000498
808160zzxz,2022-01,1.992019531
808355zz,2021-12,3.123509766
8143387358fd,2020-09,0.405603516
8143387358fd,2020-10,2.310447266
8143387396d3,2020-04,0.701102539
8143387396d3,2020-05,1.033595703
8143387396d3,2020-06,0.70752832
8143387396d3,2020-07,4.082573242
8143387396d3,2020-08,0.302176758
828791zz,2021-12,9.03619043
828791zzxz,2022-01,2.025855469
839276zz,2021-12,0.154397461
839276zzxz,2022-01,0.307958984
8419975167c59,2020-10,0.34105957
850154zzxz,2022-01,1.252328125
873452zz,2021-12,0.435751953
873452zzxz,2022-01,0.707514648
878283439c9df6,2020-04,6.033748047
878283439c9df6,2020-05,8.348426758
878283439c9df6,2020-06,0.132037109
888460735c0,2020-04,0.462927734
888460735c0,2020-05,0.657231445
9.85E+13,2020-04,0.10759668
9.85E+13,2020-05,0.161952148
9.85E+13,2020-08,0.208515625
9.85E+13,2020-09,0.104421875
9.85E+13,2020-10,1.269545898
9.85E+13,2020-11,1.693420898
905soles614d,2020-08,1.064511719
905soles614d,2020-09,5.549891602
905soles614d,2020-10,5.808580078
905soles9fc86,2020-04,0.574608398
905soles9fc86,2020-05,0.062413086
905soles9fc86,2020-06,0.560106445
905soles9fc86,2020-07,0.686048828
905soles9fc86,2020-09,0.381267578
905soles9fc86,2020-10,1.979299805
905soles9fc86,2020-11,2.96409668
905soles9fc86,2020-12,2.521101563
912bskeeaa49,2020-07,1.612147461
912bskeeaa49,2020-08,0.002608398
912bskeeaa49,2020-09,0.384484375
912bskeeaa49,2020-10,0.036888672
92579257ttf73d6,2020-04,0.313833008
92579257ttf73d6,2020-05,0.573393555
92579257ttf73d6,2020-06,0.600263672
92579257ttf73d6,2020-08,0.020047852
92579257ttf73d6,2020-09,1.164472656
92579257ttf73d6,2020-10,2.922959961
941729zz,2021-12,0.344711914
959729zz,2021-12,0.531513672
959729zzxz,2022-01,0.633177734
959819zz,2021-12,8.019133789
959819zzxz,2022-01,8.442484375
9611011687a39,2020-09,0.507566406
9611011687a39,2020-10,7.414517578
96877703ea7,2021-12,1.550580078
96877703ea7xz,2022-01,2.778697266
9745326536b40,2020-08,2.213225586
974532653f6e1,2020-08,2.443087891
974532653f6e1,2020-09,0.201805664
974532653f6e1,2020-10,4.622650391
98501243717c8,2020-04,3.195636719
98501243717c8,2020-05,0.348071289
98jiafu3f77,2020-05,2.823756836
98jiafu3f77,2020-06,0.341542969
98jiafu3f77,2020-07,0.164518555
998888zz,2021-12,1.147185547
99banmao8543,2020-06,0.027729492
99banmao8543,2020-07,0.265511719
a_m_cushman1e706,2020-05,0.138480469
a_m_cushman1e706,2020-06,0.364075195
a_m_cushman1e706,2020-07,1.265827148
a_m_cushman1e706,2020-08,0.116513672
a_m_cushman1e706,2020-09,1.01177832
a_m_cushman1e706,2020-10,5.723692383
a_m_cushman1e706,2020-12,0.832321289
a_m_cushman1e706,2021-01,2.257853516
a1697309619966,2020-04,1.175444336
a1697309619966,2020-05,0.072818359
a1697309619966,2020-06,0.090727539
a1697309619966,2020-07,2.808795898
a1697309619966,2020-08,1.186198242
a1697309619966,2020-09,0.871337891
a1697309619966,2020-10,0.345732422
a1697309619966,2020-11,0.784668945
a1697309619966,2020-12,2.759713867
a807031926c7626,2020-04,1.168116211
a807031926c7626,2020-05,0.942512695
a807031926c7626,2020-06,0.012179688
a807031926c7626,2020-07,0.143941406
aaarepair1455,2020-10,0.238321289
aaarepair1455,2020-11,0.374254883
aaarepair1455,2020-12,0.00612207
aahmed2700d343zz,2021-12,5.003198242
aahudda1e47,2020-06,5.941368164
aahudda1e47,2020-07,14.33551074
aahuddab82b,2020-06,2.756192383
aahuddab82b,2020-07,6.227483398
aakashbaliga23f1,2020-10,3.538
aalok20000ef8,2020-07,0.969336914
aalok2000acb0,2020-07,5.138396484
aalok2000acb0,2020-08,7.443148438
aalok2000acb0,2020-09,13.85029492
aaren_cortesc4186,2020-04,10.0092793
aaren_cortesc4186,2020-05,15.14278125
aaren_cortesc4186,2020-06,3.408349609
aaren_cortesc4186,2020-07,4.259685547
aaren_cortesc4186,2020-08,1.013473633
aarnavsanghavi57bf,2020-10,5.551201172
aarnavsanghavib75c,2020-10,0.726850586
aarnavsanghavib75c,2020-11,0.467194336
aarnavsanghavib75c,2020-12,2.376364258
aaronbrisco241f6,2020-04,3.323962891
aaronbrisco241f6,2020-05,1.635103516
aaronbrisco241f6,2020-06,2.272417969
aaronbrucee103b,2021-01,0.00105957
aaroncantu783d33,2020-07,1.91484375
aaroncantu783d33,2020-08,1.775811523
aaronchang82dd0f,2020-07,1.513424805
aaronchang82dd0f,2020-08,2.123220703
aaronchang82dd0f,2020-09,2.185317383
aaroncheung9546456,2020-04,0.784911133
